Brand,WaterProof,Gender,TimeDisplay,Chronograph,Rating,Price
Emporio Armani,50.0,1,1,1,0,379.0
Tissot,30.0,1,1,0,0,1780.0
Casio,200.0,1,2,1,0,380.0
Hugo Boss,50.0,1,1,1,0,382.0
Hugo Boss,50.0,1,1,0,0,385.0
Hugo Boss,100.0,1,1,1,0,387.0
Guess,50.0,0,1,1,0,389.0
Tommy Hilfiger,30.0,0,1,1,0,389.0
Emporio Armani,30.0,0,1,0,0,389.0
Hugo Boss,50.0,1,1,0,0,392.0
Casio,200.0,1,2,1,0,494.0
Tommy Hilfiger,30.0,0,1,1,0,396.0
Tommy Hilfiger,30.0,1,1,1,0,398.0
Hugo Boss,50.0,1,1,1,0,398.0
Cluse,50.0,0,1,0,0,399.0
Emporio Armani,30.0,0,1,0,0,399.0
Emporio Armani,50.0,1,1,1,0,400.0
Emporio Armani,50.0,1,1,1,0,402.0
Cluse,50.0,0,1,0,0,404.0
Casio,200.0,1,2,0,0,405.0
Emporio Armani,30.0,0,1,0,0,407.0
Burberry,50.0,0,1,0,0,509.0
Calvin Klein,30.0,0,1,0,0,409.0
Hugo Boss,50.0,1,1,1,0,410.0
Emporio Armani,50.0,1,1,1,0,414.0
Bering,0.0,0,1,0,0,418.0
Hugo Boss,100.0,1,1,1,0,422.0
Casio,200.0,1,0,0,0,524.0
Emporio Armani,30.0,1,1,1,0,424.0
Calvin Klein,30.0,0,1,0,0,429.0
Casio,200.0,1,2,0,0,429.0
OBAKU,30.0,0,1,0,0,430.0
Calvin Klein,30.0,0,1,0,0,435.0
Casio,200.0,1,2,1,0,536.0
OBAKU,30.0,0,1,0,0,439.0
Calvin Klein,30.0,0,1,0,0,448.0
Bering,30.0,0,1,0,0,449.0
Bering,50.0,0,1,0,0,457.0
Bering,30.0,0,1,0,0,457.0
OBAKU,30.0,0,1,0,0,470.0
Tommy Hilfiger,50.0,1,1,0,0,474.0
Casio,200.0,1,2,0,0,477.0
Bering,50.0,0,1,0,0,478.0
Wenger,100.0,1,1,0,0,480.0
Casio,200.0,1,2,1,0,484.0
Frederique Constant,50.0,1,1,0,0,1786.0
Bering,30.0,0,1,0,0,490.0
Bering,30.0,0,1,0,0,495.0
Frederique Constant,30.0,1,1,1,0,2399.0
Bering,30.0,0,1,0,0,518.0
Citizen,100.0,1,1,0,0,829.0
Burberry,50.0,0,1,0,0,529.0
Bering,30.0,0,1,0,0,535.0
Bering,30.0,1,1,0,0,535.0
Casio,200.0,1,0,0,0,543.0
Bering,50.0,1,1,0,0,545.0
Burberry,50.0,1,1,1,0,549.0
GANT,30.0,0,1,0,0,549.0
Cluse,50.0,1,1,0,0,550.0
Cluse,50.0,0,1,0,0,570.0
Wenger,200.0,1,1,0,0,774.0
Citizen,100.0,1,1,1,0,1790.0
Certina,100.0,1,1,0,0,1690.0
Certina,100.0,1,1,1,0,2599.0
Citizen,30.0,0,1,0,0,599.0
Tissot,30.0,1,1,1,0,1600.0
Bering,50.0,0,1,0,0,610.0
Bering,50.0,0,1,0,0,613.0
Casio,50.0,1,0,0,0,117.0
Wenger,100.0,1,1,0,0,628.0
Certina,100.0,1,1,0,0,1649.0
Tissot,100.0,1,1,1,0,1660.0
Wenger,100.0,1,1,0,0,669.0
Emporio Armani,100.0,1,1,0,0,370.0
Seiko,100.0,1,1,1,0,772.0
Tissot,100.0,1,1,1,0,1675.0
Wenger,100.0,1,1,0,0,675.0
Emporio Armani,50.0,0,1,0,0,698.0
Rado,0.0,0,1,0,0,2199.0
Citizen,50.0,0,1,0,0,799.0
Seiko,100.0,1,1,0,0,904.0
GANT,50.0,1,1,0,0,829.0
Casio,50.0,1,2,0,0,139.0
Casio,50.0,0,1,0,0,142.0
Citizen,100.0,1,1,0,0,1350.0
Pierre Richardson,30.0,1,1,0,0,669.0
GANT,50.0,1,1,0,0,779.0
GANT,50.0,1,1,0,0,780.0
Casio,200.0,1,2,0,0,789.0
Tissot,200.0,1,1,1,0,2090.0
